ort,plz,landkreis,bundesland
Glasewitz,18276,Landkreis Rostock,Mecklenburg-Vorpommern
Glashütte,01768,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Glashütten,61479,Hochtaunuskreis,Hessen
Glashütten,95496,Landkreis Bayreuth,Bayern
Glasin,23992,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Glasow,17322,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Glattbach,63864,Landkreis Aschaffenburg,Bayern
Glatten,72293,Landkreis Freudenstadt,Baden-Württemberg
Glaubitz,01612,Landkreis Meißen,Sachsen
Glauburg,63695,Wetteraukreis,Hessen
Glauchau,08371,Landkreis Zwickau,Sachsen
Glees,56653,Landkreis Ahrweiler,Rheinland-Pfalz
Gleichen,37130,Landkreis Göttingen,Niedersachsen
Gleina,06632,Burgenlandkreis,Sachsen-Anhalt
Gleiritsch,92723,Landkreis Schwandorf,Bayern
Gleißenberg,93477,Landkreis Cham,Bayern
Gleisweiler,76835,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Gleiszellen-Gleishorbach,76889,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Glewitz,18513,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Glienicke/Nordbahn,16548,Landkreis Oberhavel,Brandenburg
Glinde,21509,Kreis Stormarn,Schleswig-Holstein
Glonn,85625,Landkreis Ebersberg,Bayern
Glött,89353,Landkreis Dillingen an der Donau,Bayern
Glottertal,79286,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Glowe,18551,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Glücksburg,24960,Kreis Schleswig-Flensburg,Schleswig-Holstein
Glückstadt,25348,Kreis Steinburg,Schleswig-Holstein
Glüsing,25779,Kreis Dithmarschen,Schleswig-Holstein
Gmund,83703,Landkreis Miesbach,Bayern
Gnarrenburg,27442,Landkreis Rotenburg (Wümme),Niedersachsen
Gneus,07646,Saale-Holzland-Kreis,Thüringen
Gneven,19065,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Gnevkow,17089,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Gnewitz,18195,Landkreis Rostock,Mecklenburg-Vorpommern
Gnoien,17179,Landkreis Rostock,Mecklenburg-Vorpommern
Gnotzheim,91728,Landkreis Weißenburg-Gunzenhausen,Bayern
Gnutz,24622,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Goch,47574,Kreis Kleve,Nordrhein-Westfalen
Gochsheim,97469,Landkreis Schweinfurt,Bayern
Göcklingen,76831,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Göda - Hodźij,02633,Landkreis Bautzen,Sachsen
Goddert,56244,Westerwaldkreis,Rheinland-Pfalz
Godendorf,17237,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Gödenroth,56290,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Gödenstorf,21376,Landkreis Harburg,Niedersachsen
Goethestadt Bad Lauchstädt,06246,Saalekreis,Sachsen-Anhalt
Göggingen,73571,Ostalbkreis,Baden-Württemberg
Göhl,23758,Kreis Ostholstein,Schleswig-Holstein
Göhlen,19288,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Göhrde,29473,Landkreis Lüchow-Dannenberg,Niedersachsen
Göhren,18586,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Göhren,04603,Landkreis Altenburger Land,Thüringen
Göhren-Lebbin,17213,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Gohrisch,01824,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Gokels,25557,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Golchen,17089,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Goldbach,63773,Landkreis Aschaffenburg,Bayern
Goldbeck,39596,Landkreis Stendal,Sachsen-Anhalt
Goldberg,19399,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Goldebek,25862,Kreis Nordfriesland,Schleswig-Holstein
Goldelund,25862,Kreis Nordfriesland,Schleswig-Holstein
Göldenitz,23919,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Goldenstedt,49424,Landkreis Vechta,Niedersachsen
Goldisthal,98746,Landkreis Sonneberg,Thüringen
Goldkronach,95497,Landkreis Bayreuth,Bayern
Gölenkamp,49843,Landkreis Grafschaft Bentheim,Niedersachsen
Gollenberg,55767,Landkreis Birkenfeld,Rheinland-Pfalz
Gollenberg,14728,Landkreis Havelland,Brandenburg
Göllheim,67307,Donnersbergkreis,Rheinland-Pfalz
Gollhofen,97258,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
Göllnitz,04626,Landkreis Altenburger Land,Thüringen
Golmbach,37640,Landkreis Holzminden,Niedersachsen
Golmsdorf,07751,Saale-Holzland-Kreis,Thüringen
Golßen,15938,Landkreis Dahme-Spreewald,Brandenburg
Golzow,14778,Landkreis Potsdam-Mittelmark,Brandenburg
Golzow,15328,Landkreis Märkisch-Oderland,Brandenburg
Gomadingen,72532,Landkreis Reutlingen,Baden-Württemberg
Gomaringen,72810,Landkreis Tübingen,Baden-Württemberg
Gommern,39175,Landkreis Jerichower Land,Sachsen-Anhalt
Gommern,39245,Landkreis Jerichower Land,Sachsen-Anhalt
Gommern,39264,Landkreis Jerichower Land,Sachsen-Anhalt
Gommern,39279,Landkreis Jerichower Land,Sachsen-Anhalt
Gommern,39291,Landkreis Jerichower Land,Sachsen-Anhalt
Gommersheim,67377,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Gonbach,67724,Donnersbergkreis,Rheinland-Pfalz
Gondelsheim,75053,Landkreis Karlsruhe,Baden-Württemberg
Gondenbrett,54595,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Gondershausen,56283,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Gondorf,54647,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Gönnebek,24610,Kreis Segeberg,Schleswig-Holstein
Gönnersdorf,53498,Landkreis Ahrweiler,Rheinland-Pfalz
Gönnersdorf,54584,Landkreis Vulkaneifel,Rheinland-Pfalz
Gönnheim,67161,Landkreis Bad Dürkheim,Rheinland-Pfalz
Goosefeld,24340,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Göpfersdorf,04618,Landkreis Altenburger Land,Thüringen
Göppingen,73033,Landkreis Göppingen,Baden-Württemberg
Göppingen,73035,Landkreis Göppingen,Baden-Württemberg
Göppingen,73037,Landkreis Göppingen,Baden-Württemberg
Göppingen,73116,Landkreis Göppingen,Baden-Württemberg
Gorden-Staupitz,03238,Landkreis Elbe-Elster,Brandenburg
Görgeshausen,56412,Westerwaldkreis,Rheinland-Pfalz
Görisried,87657,Landkreis Ostallgäu,Bayern
Göritz,17291,Landkreis Uckermark,Brandenburg
Görkwitz,07907,Saale-Orla-Kreis,Thüringen
Gorleben,29475,Landkreis Lüchow-Dannenberg,Niedersachsen
Görlitz,02826,Landkreis Görlitz,Sachsen
Görlitz,02827,Landkreis Görlitz,Sachsen
Görlitz,02828,Landkreis Görlitz,Sachsen
Gorlosen,19294,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Görmin,17121,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Gornau,09405,Erzgebirgskreis,Sachsen
Gornau,09437,Erzgebirgskreis,Sachsen
Gornau,09573,Erzgebirgskreis,Sachsen
Gornhausen,54472,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Gornsdorf,09390,Erzgebirgskreis,Sachsen
Görsbach,99765,Landkreis Nordhausen,Thüringen
Görwihl,79733,Landkreis Waldshut,Baden-Württemberg
Gorxheimertal,69517,Kreis Bergstraße,Hessen
Görzke,14828,Landkreis Potsdam-Mittelmark,Brandenburg
Göschitz,07907,Saale-Orla-Kreis,Thüringen
Goseck,06667,Burgenlandkreis,Sachsen-Anhalt
Gösen,07607,Saale-Holzland-Kreis,Thüringen
Gosen-Neu Zittau,15537,Landkreis Oder-Spree,Brandenburg
Gösenroth,55624,Landkreis Birkenfeld,Rheinland-Pfalz
Gosheim,78559,Landkreis Tuttlingen,Baden-Württemberg
Goslar,38640,Landkreis Goslar,Niedersachsen
Goslar,38642,Landkreis Goslar,Niedersachsen
Goslar,38644,Landkreis Goslar,Niedersachsen
Goslar,38690,Landkreis Goslar,Niedersachsen
Gössenheim,97780,Landkreis Main-Spessart,Bayern
Gossersweiler-Stein,76857,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Gössitz,07389,Saale-Orla-Kreis,Thüringen
Gößnitz,04639,Landkreis Altenburger Land,Thüringen
Gößweinstein,91327,Landkreis Forchheim,Bayern
Gotha,99867,Landkreis Gotha,Thüringen
Gottenheim,79288,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Gottesgabe,19209,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Gotteszell,94239,Landkreis Regen,Bayern
Gottfrieding,84177,Landkreis Dingolfing-Landau,Bayern
Gotthun,17207,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Göttin,21514,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Göttingen,37073,Landkreis Göttingen,Niedersachsen
Göttingen,37075,Landkreis Göttingen,Niedersachsen
Göttingen,37077,Landkreis Göttingen,Niedersachsen
Göttingen,37079,Landkreis Göttingen,Niedersachsen
Göttingen,37081,Landkreis Göttingen,Niedersachsen
Göttingen,37083,Landkreis Göttingen,Niedersachsen
Göttingen,37085,Landkreis Göttingen,Niedersachsen
Gottmadingen,78244,Landkreis Konstanz,Baden-Württemberg
Graach an der Mosel,54470,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Graal-Müritz,18181,Landkreis Rostock,Mecklenburg-Vorpommern
Grabau,23845,Kreis Stormarn,Schleswig-Holstein
Grabau,21493,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Graben,86836,Landkreis Augsburg,Bayern
Gräben,14793,Landkreis Potsdam-Mittelmark,Brandenburg
Graben-Neudorf,76676,Landkreis Karlsruhe,Baden-Württemberg
Grabenstätt,83355,Landkreis Traunstein,Bayern
Grabenstetten,72582,Landkreis Reutlingen,Baden-Württemberg
Grabfeld,98631,Landkreis Schmalkalden-Meiningen,Thüringen
Grabow,19300,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Grabowhöfe,17194,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Gräfelfing,82166,Landkreis München,Bayern
Grafenau,71120,Landkreis Böblingen,Baden-Württemberg
Grafenau,94481,Landkreis Freyung-Grafenau,Bayern
Grafenberg,72661,Landkreis Reutlingen,Baden-Württemberg
Gräfenberg,91322,Landkreis Forchheim,Bayern
Gräfendhron,54426,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Gräfendorf,97782,Landkreis Main-Spessart,Bayern
Grafengehaig,95356,Landkreis Kulmbach,Bayern
Gräfenhainichen,06772,Landkreis Wittenberg,Sachsen-Anhalt
Gräfenhainichen,06773,Landkreis Wittenberg,Sachsen-Anhalt
Grafenhausen,79865,Landkreis Waldshut,Baden-Württemberg
Grafenrheinfeld,97506,Landkreis Schweinfurt,Bayern
Gräfenthal,98743,Landkreis Saalfeld-Rudolstadt,Thüringen
Grafenwiesen,93479,Landkreis Cham,Bayern
Grafenwöhr,92655,Landkreis Neustadt an der Waldnaab,Bayern
Grafhorst,38462,Landkreis Helmstedt,Niedersachsen
Grafing bei München,85567,Landkreis Ebersberg,Bayern
Grafling,94539,Landkreis Deggendorf,Bayern
Grafrath,82284,Landkreis Fürstenfeldbruck,Bayern
Grafschaft,53501,Landkreis Ahrweiler,Rheinland-Pfalz
Grainau,82491,Landkreis Garmisch-Partenkirchen,Bayern
Grainet,94143,Landkreis Freyung-Grafenau,Bayern
Graitschen bei Bürgel,07616,Saale-Holzland-Kreis,Thüringen
Grambek,23883,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Grambin,17375,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Grambow,17322,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Grambow,19071,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Grambow,19073,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Grammendorf,18513,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Grammentin,17153,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Grammetal,99428,Landkreis Weimarer Land,Thüringen
Grammow,18195,Landkreis Rostock,Mecklenburg-Vorpommern
Gramzow,17291,Landkreis Uckermark,Brandenburg
Grande,22946,Kreis Stormarn,Schleswig-Holstein
Gransdorf,54533,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Gransebieth,18513,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Gransee,16775,Landkreis Oberhavel,Brandenburg
Granzin,19386,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Grapzow,17089,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Grasberg,28879,Landkreis Osterholz,Niedersachsen
Grasbrunn,85630,Landkreis München,Bayern
Grasellenbach,64689,Kreis Bergstraße,Hessen
Grasleben,38368,Landkreis Helmstedt,Niedersachsen
Grassau,83224,Landkreis Traunstein,Bayern
Grattersdorf,94541,Landkreis Deggendorf,Bayern
Grauel,24594,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Grävenwiesbach,61279,Hochtaunuskreis,Hessen
Grebenau,36323,Vogelsbergkreis,Hessen
Grebenhain,36355,Vogelsbergkreis,Hessen
Grebenstein,34393,Landkreis Kassel,Hessen
Grebin,24329,Kreis Plön,Schleswig-Holstein
Grebs-Niendorf,19294,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Greding,91171,Landkreis Roth,Bayern
Grefrath,47929,Kreis Viersen,Nordrhein-Westfalen
Greifenberg,86926,Landkreis Landsberg am Lech,Bayern
Greifenstein,35753,Lahn-Dill-Kreis,Hessen
Greifswald,17489,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Greifswald,17491,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Greifswald,17493,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Greiling,83677,Landkreis Bad Tölz-Wolfratshausen,Bayern
Greimerath,54314,Landkreis Trier-Saarburg,Rheinland-Pfalz
Greimerath,54533,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Greimersburg,56814,Landkreis Cochem-Zell,Rheinland-Pfalz
Greiz,07973,Landkreis Greiz,Thüringen
Gremersdorf,23758,Kreis Ostholstein,Schleswig-Holstein
Gremersdorf-Buchholz,18461,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Gremsdorf,91350,Landkreis Erlangen-Höchstadt,Bayern
Grenderich,56858,Landkreis Cochem-Zell,Rheinland-Pfalz
Grenzach-Wyhlen,79639,Landkreis Lörrach,Baden-Württemberg
Gresse,19258,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Grethem,29690,Landkreis Heidekreis,Niedersachsen
Grettstadt,97508,Landkreis Schweinfurt,Bayern
Greußen,99718,Kyffhäuserkreis,Thüringen
Greußenheim,97259,Landkreis Würzburg,Bayern
Greven,48268,Kreis Steinfurt,Nordrhein-Westfalen
Greven,19258,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Grevenbroich,41515,Rhein-Kreis Neuss,Nordrhein-Westfalen
Grevenbroich,41516,Rhein-Kreis Neuss,Nordrhein-Westfalen
Grevenbroich,41517,Rhein-Kreis Neuss,Nordrhein-Westfalen
Grevenkop,25361,Kreis Steinburg,Schleswig-Holstein
Grevenkrug,24241,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Grevesmühlen,23936,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Gribbohm,25596,Kreis Steinburg,Schleswig-Holstein
Gribow,17506,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Griebelschied,55608,Landkreis Birkenfeld,Rheinland-Pfalz
Grieben,23936,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Griefstedt,99638,Landkreis Sömmerda,Thüringen
Gries,66903,Landkreis Kusel,Rheinland-Pfalz
Griesheim,64347,Landkreis Darmstadt-Dieburg,Hessen
Griesingen,89608,Alb-Donau-Kreis,Baden-Württemberg
Griesstätt,83556,Landkreis Rosenheim,Bayern
Grimburg,54413,Landkreis Trier-Saarburg,Rheinland-Pfalz
Grimma,04668,Landkreis Leipzig,Sachsen
Grimmelshausen,98660,Landkreis Hildburghausen,Thüringen
Grimmen,18507,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Grinau,23847,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Grischow,17089,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Grobengereuth,07389,Saale-Orla-Kreis,Thüringen
Gröbenzell,82194,Landkreis Fürstenfeldbruck,Bayern
Gröde,25869,Kreis Nordfriesland,Schleswig-Holstein
Gröden,04932,Landkreis Elbe-Elster,Brandenburg
Grödersby,24376,Kreis Schleswig-Flensburg,Schleswig-Holstein
Grödersby,24399,Kreis Schleswig-Flensburg,Schleswig-Holstein
Gröditz,01609,Landkreis Meißen,Sachsen
Groitzsch,04539,Landkreis Leipzig,Sachsen
Grolsheim,55459,Landkreis Mainz-Bingen,Rheinland-Pfalz
Grömbach,72294,Landkreis Freudenstadt,Baden-Württemberg
Grömbach,72297,Landkreis Freudenstadt,Baden-Württemberg
Grömitz,23743,Kreis Ostholstein,Schleswig-Holstein
Gronau,48599,Kreis Borken,Nordrhein-Westfalen
Gronau,31028,Landkreis Hildesheim,Niedersachsen
Gröningen,39397,Landkreis Börde,Sachsen-Anhalt
Grönwohld,22956,Kreis Stormarn,Schleswig-Holstein
Großaitingen,86845,Landkreis Augsburg,Bayern
Großalmerode,37247,Werra-Meißner-Kreis,Hessen
Großbardorf,97633,Landkreis Rhön-Grabfeld,Bayern
Großbarkau,24245,Kreis Plön,Schleswig-Holstein
Großbartloff,37359,Landkreis Eichsfeld,Thüringen
Großbeeren,14979,Landkreis Teltow-Fläming,Brandenburg
Groß Berßen,49777,Landkreis Emsland,Niedersachsen
Großbettlingen,72663,Landkreis Esslingen,Baden-Württemberg
Groß-Bieberau,64395,Landkreis Darmstadt-Dieburg,Hessen
Groß-Bieberau,64401,Landkreis Darmstadt-Dieburg,Hessen
Großbockedra,07646,Saale-Holzland-Kreis,Thüringen
Groß Boden,23847,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Großbottwar,71723,Landkreis Ludwigsburg,Baden-Württemberg
Großbreitenbach,98701,Ilm-Kreis,Thüringen
Groß Buchwald,24582,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Großbundenbach,66501,Landkreis Südwestpfalz,Rheinland-Pfalz
Großderschau,16845,Landkreis Havelland,Brandenburg
Groß Disnack,23911,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Groß Düben - Dźěwin,02953,Landkreis Görlitz,Sachsen
Groß Düben - Dźěwin,02959,Landkreis Görlitz,Sachsen
Großdubrau - Wulka Dubrawa,02694,Landkreis Bautzen,Sachsen
Großefehn,26629,Landkreis Aurich,Niedersachsen
Großeibstadt,97633,Landkreis Rhön-Grabfeld,Bayern
Grosselfingen,72415,Zollernalbkreis,Baden-Württemberg
Großenaspe,24623,Kreis Segeberg,Schleswig-Holstein
Großenbrode,23775,Kreis Ostholstein,Schleswig-Holstein
Großenhain,01558,Landkreis Meißen,Sachsen
Großenhain,01561,Landkreis Meißen,Sachsen
Großenkneten,26197,Landkreis Oldenburg,Niedersachsen
Großenlüder,36137,Landkreis Fulda,Hessen
Großenrade,25712,Kreis Dithmarschen,Schleswig-Holstein
Großensee,22946,Kreis Stormarn,Schleswig-Holstein
Großenseebach,91091,Landkreis Erlangen-Höchstadt,Bayern
Großenstein,07580,Landkreis Greiz,Thüringen
Großenwiehe,24969,Kreis Schleswig-Flensburg,Schleswig-Holstein
Großenwörden,21712,Landkreis Stade,Niedersachsen
Großerlach,71577,Rems-Murr-Kreis,Baden-Württemberg
Großeutersdorf,07768,Saale-Holzland-Kreis,Thüringen
Großfahner,99100,Landkreis Gotha,Thüringen
Großfischlingen,67483,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Groß-Gerau,64521,Kreis Groß-Gerau,Hessen
Groß Godems,19372,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Groß Grönau,23627,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Großhabersdorf,90613,Landkreis Fürth,Bayern
Großhansdorf,22927,Kreis Stormarn,Schleswig-Holstein
Großharrie,24625,Kreis Plön,Schleswig-Holstein
Großharthau,01909,Landkreis Bautzen,Sachsen
Großhartmannsdorf,09618,Landkreis Mittelsachsen,Sachsen
Großheide,26532,Landkreis Aurich,Niedersachsen
Großheirath,96269,Landkreis Coburg,Bayern
Großheringen,99518,Landkreis Weimarer Land,Thüringen
Großheubach,63920,Landkreis Miltenberg,Bayern
Großholbach,56412,Westerwaldkreis,Rheinland-Pfalz
Groß Ippener,27243,Landkreis Oldenburg,Niedersachsen
Großkampenberg,54619,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Großkarlbach,67229,Landkreis Bad Dürkheim,Rheinland-Pfalz
Großkarolinenfeld,83109,Landkreis Rosenheim,Bayern
Groß Kelle,17207,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Groß Kiesow,17495,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Großkmehlen,01990,Landkreis Oberspreewald-Lausitz,Brandenburg
Groß Kordshagen,18442,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Groß Köris,15746,Landkreis Dahme-Spreewald,Brandenburg
Groß Krams,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Groß Kreutz (Havel),14550,Landkreis Potsdam-Mittelmark,Brandenburg
Großkrotzenburg,63538,Main-Kinzig-Kreis,Hessen
Groß Kummerfeld,24626,Kreis Segeberg,Schleswig-Holstein
Groß Laasch,19288,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Großlangenfeld,54608,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Großlangheim,97320,Landkreis Kitzingen,Bayern
Groß Lindow,15295,Landkreis Oder-Spree,Brandenburg
Großlittgen,54534,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Großlöbichau,07751,Saale-Holzland-Kreis,Thüringen
Großlohra,99759,Landkreis Nordhausen,Thüringen
Groß Luckow,17337,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Großmaischeid,56276,Landkreis Neuwied,Rheinland-Pfalz
Groß Meckelsen,27419,Landkreis Rotenburg (Wümme),Niedersachsen
Großmehring,85098,Landkreis Eichstätt,Bayern
Groß Miltzow,17349,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Groß Mohrdorf,18445,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Großmölsen,99198,Landkreis Sömmerda,Thüringen
Groß Molzahn,19217,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Großnaundorf,01936,Landkreis Bautzen,Sachsen
Groß Nemerow,17094,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Großneuhausen,99625,Landkreis Sömmerda,Thüringen
Großniedesheim,67259,Rhein-Pfalz-Kreis,Rheinland-Pfalz
Groß Niendorf,23816,Kreis Segeberg,Schleswig-Holstein
Groß Nordende,25436,Kreis Pinneberg,Schleswig-Holstein
Groß Oesingen,29393,Landkreis Gifhorn,Niedersachsen
Groß Offenseth-Aspern,25355,Kreis Pinneberg,Schleswig-Holstein
Großolbersdorf,09432,Erzgebirgskreis,Sachsen
Großostheim,63762,Landkreis Aschaffenburg,Bayern
Groß Pampau,21493,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Groß Pankow (Prignitz),16928,Landkreis Prignitz,Brandenburg
Groß Plasten,17192,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Groß Polzin,17390,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Großpösna,04463,Landkreis Leipzig,Sachsen
Großpostwitz/O.L. - Budestecy,02692,Landkreis Bautzen,Sachsen
Großpürschütz,07751,Saale-Holzland-Kreis,Thüringen
Groß Quenstedt,38822,Landkreis Harz,Sachsen-Anhalt
Großräschen,01983,Landkreis Oberspreewald-Lausitz,Brandenburg
Groß Rheide,24872,Kreis Schleswig-Flensburg,Schleswig-Holstein
Großrinderfeld,97950,Main-Tauber-Kreis,Baden-Württemberg
Groß Roge,17166,Landkreis Rostock,Mecklenburg-Vorpommern
Groß-Rohrheim,68649,Kreis Bergstraße,Hessen
Großröhrsdorf,01900,Landkreis Bautzen,Sachsen
Groß Rönnau,23795,Kreis Segeberg,Schleswig-Holstein
Großrosseln,66352,Regionalverband Saarbrücken,Saarland
Großrückerswalde,09518,Erzgebirgskreis,Sachsen
Großrudestedt,99195,Landkreis Sömmerda,Thüringen
Groß Sarau,23627,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Groß Schacksdorf-Simmersdorf,03149,Landkreis Spree-Neiße,Brandenburg
Groß Schenkenberg,23860,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Großschirma,09603,Landkreis Mittelsachsen,Sachsen
Großschönau,02779,Landkreis Görlitz,Sachsen
Großschönau,02799,Landkreis Görlitz,Sachsen
Großschwabhausen,99441,Landkreis Weimarer Land,Thüringen
Großschweidnitz,02708,Landkreis Görlitz,Sachsen
Groß Schwiesow,18276,Landkreis Rostock,Mecklenburg-Vorpommern
Großseifen,56472,Westerwaldkreis,Rheinland-Pfalz
Großsolt,24991,Kreis Schleswig-Flensburg,Schleswig-Holstein
Großsteinhausen,66484,Landkreis Südwestpfalz,Rheinland-Pfalz
Groß Stieten,23972,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Groß Teetzleben,17091,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Großthiemig,04932,Landkreis Elbe-Elster,Brandenburg
Groß Twülpstedt,38464,Landkreis Helmstedt,Niedersachsen
Groß-Umstadt,64823,Landkreis Darmstadt-Dieburg,Hessen
Großvargula,99958,Unstrut-Hainich-Kreis,Thüringen
Groß Vollstedt,24802,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Großwallstadt,63868,Landkreis Miltenberg,Bayern
